2025-11-05 17:28:18.308 [INFO] [STARTUP] [no-uuid-found] | Starting Solar Monitoring System...
2025-11-05 17:28:18.377 [INFO] [MAPPING] [no-uuid-found] | Loaded 4 mappings from MongoDB
2025-11-05 17:28:18.377 [INFO] [MAPPING] [no-uuid-found] | Service initialized with 4 mappings
2025-11-05 17:28:18.377 [INFO] [MAPPER] [no-uuid-found] | MongoDB-backed mapping service initialized
2025-11-05 17:28:18.377 [INFO] [INIT] [no-uuid-found] | Data receiver initialized with mongo
2025-11-05 17:28:18.395 [ERROR] [MAPPING] [no-uuid-found] | Watch failed: (Location40573) The $changeStream stage is only supported on replica sets
2025-11-05 17:28:21.554 [DEBUG] [MAPPING] [84ca1d42-5029-44] | Using source: current_format
2025-11-05 17:28:21.557 [DEBUG] [MAPPING] [1be8cb05-2a9e-4e] | Using source: format_2_inverter
2025-11-05 17:28:21.567 [DEBUG] [MAPPING] [41ce8504-6c09-4f] | Using source: flat_format_device
2025-11-05 17:28:21.578 [DEBUG] [MAPPING] [c76c2e60-5541-40] | Using source: unit_conversion_device
2025-11-05 17:28:21.588 [DEBUG] [MAPPING] [3abe4321-a555-4c] | Using source: current_format
2025-11-05 17:28:21.598 [DEBUG] [MAPPING] [ad498250-6726-48] | Using source: format_2_inverter
2025-11-05 17:28:21.602 [INFO] [MONGO_WRITE] [PERIODIC] | ✅ Batch inserted successfully: 3 records
2025-11-05 17:28:21.607 [DEBUG] [MAPPING] [3cf8d6cc-c47d-41] | Using source: flat_format_device
2025-11-05 17:28:21.618 [DEBUG] [MAPPING] [32cb0e72-b601-4c] | Using source: unit_conversion_device
2025-11-05 17:28:21.628 [DEBUG] [MAPPING] [effd189f-d85d-40] | Using source: current_format
2025-11-05 17:28:21.638 [DEBUG] [MAPPING] [dd474a6f-c474-45] | Using source: format_2_inverter
2025-11-05 17:28:21.647 [DEBUG] [MAPPING] [e5fbfaff-58a7-4f] | Using source: flat_format_device
2025-11-05 17:28:21.658 [DEBUG] [MAPPING] [a2bab4e9-a81d-4a] | Using source: unit_conversion_device
2025-11-05 17:28:21.667 [DEBUG] [MAPPING] [0a2e8859-98f3-48] | Using source: current_format
2025-11-05 17:28:21.678 [DEBUG] [MAPPING] [67f90634-f549-4f] | Using source: format_2_inverter
2025-11-05 17:28:21.688 [DEBUG] [MAPPING] [3186bcb0-b7ed-48] | Using source: flat_format_device
2025-11-05 17:28:21.698 [DEBUG] [MAPPING] [4af812b1-1bcc-4a] | Using source: unit_conversion_device
2025-11-05 17:28:21.707 [DEBUG] [MAPPING] [715352c2-f11c-47] | Using source: current_format
2025-11-05 17:28:21.717 [DEBUG] [MAPPING] [684367ae-5828-46] | Using source: format_2_inverter
